connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 31.411, 0, 5.19764, 0, 0.00010885, 0, 0, 0.00658541
0, 31.7046, 0, 4.90407, 0, 0.000160592, 0, 0, 0.00611319
0, 31.6757, 0, 4.93217, 0, 0.000202909, 0, 0, 0.00679212
0, 31.7996, 0, 4.80932, 0, 0.000161858, 0, 0, 0.00596804
0, 30.2535, 0, 6.35477, 0, 0.00023381, 0, 0, 0.00666396
0, 31.3625, 0, 5.24738, 0, 0.000189645, 0, 0, 0.00505491
0, 31.6627, 0, 4.94541, 0, 0.000262653, 0, 0, 0.00675115
0, 29.9303, 0, 6.67655, 0, 0.000316029, 0, 0, 0.00774829
0, 30.0871, 0, 6.52008, 0, 0.000352261, 0, 0, 0.00772516
0, 30.2243, 0, 6.38365, 0, 0.000357176, 0, 0, 0.00702152
0, 31.4319, 0, 5.17716, 0, 0.000294077, 0, 0, 0.0059018
0, 31.67, 0, 4.93938, 0, 0.000308436, 0, 0, 0.00521102
0, 29.8602, 0, 6.74675, 0, 0.000437632, 0, 0, 0.0077132
0, 30.0898, 0, 6.51772, 0, 0.000465448, 0, 0, 0.00713781
0, 30.2216, 0, 6.38602, 0, 0.000472096, 0, 0, 0.00680333
0, 31.7607, 0, 4.84805, 0, 0.000391034, 0, 0, 0.00564488
0, 32.008, 0, 4.60081, 0, 0.000386206, 0, 0, 0.00668152
0, 31.6998, 0, 4.90882, 0, 0.000386569, 0, 0, 0.00651922
0, 30.2545, 0, 6.35205, 0, 0.00056231, 0, 0, 0.00789127
0, 31.9847, 0, 4.62459, 0, 0.00039774, 0, 0, 0.0066292
0, 31.5317, 0, 5.07744, 0, 0.000422261, 0, 0, 0.0056784
0, 31.6999, 0, 4.90847, 0, 0.000531753, 0, 0, 0.00611676
0, 29.971, 0, 6.63515, 0, 0.000710864, 0, 0, 0.00811102
0, 30.1392, 0, 6.46784, 0, 0.000709345, 0, 0, 0.00690861
0, 30.2726, 0, 6.33541, 0, 0.000658672, 0, 0, 0.00687204
0, 31.7365, 0, 4.87259, 0, 0.000521832, 0, 0, 0.00561482
0, 31.7348, 0, 4.87481, 0, 0.000517848, 0, 0, 0.00576395
0, 31.7623, 0, 4.84534, 0, 0.000545479, 0, 0, 0.00729966
0, 30.2247, 0, 6.38276, 0, 0.000749736, 0, 0, 0.00683181
0, 31.9927, 0, 4.61669, 0, 0.000539843, 0, 0, 0.00617934
0, 29.9643, 0, 6.64187, 0, 0.000783063, 0, 0, 0.00802856
0, 30.2227, 0, 6.38464, 0, 0.000800103, 0, 0, 0.00661395
0, 30.044, 0, 6.5623, 0, 0.000951915, 0, 0, 0.00821712
0, 31.6948, 0, 4.91353, 0, 0.000667411, 0, 0, 0.00646884
0, 31.893, 0, 4.71449, 0, 0.000679841, 0, 0, 0.00683223
0, 30.1876, 0, 6.41936, 0, 0.000914217, 0, 0, 0.00727943
0, 31.8271, 0, 4.78193, 0, 0.000554309, 0, 0, 0.00549309
0, 31.74, 0, 4.86749, 0, 0.000816545, 0, 0, 0.00761653
0, 31.9328, 0, 4.6748, 0, 0.000796881, 0, 0, 0.00696201
0, 31.963, 0, 4.6471, 0, 0.000617577, 0, 0, 0.00654914
