connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 6.39012, 0, 0.860811, 0, 1.12057e-05, 0, 0, 0.000368118
0, 6.40271, 0, 0.848157, 0, 1.52588e-05, 0, 0, 0.000390768
0, 6.41773, 0, 0.833088, 0, 1.74046e-05, 0, 0, 0.000386715
0, 6.09378, 0, 1.15654, 0, 3.14713e-05, 0, 0, 0.000618696
0, 6.04778, 0, 1.2025, 0, 2.83718e-05, 0, 0, 0.000608921
0, 6.41888, 0, 0.831873, 0, 2.83718e-05, 0, 0, 0.000428915
0, 6.02254, 0, 1.228, 0, 2.98023e-05, 0, 0, 0.000518084
0, 6.40401, 0, 0.846849, 0, 2.14577e-05, 0, 0, 0.000477076
0, 6.44859, 0, 0.802181, 0, 3.33786e-05, 0, 0, 0.000483751
0, 6.44354, 0, 0.807334, 0, 3.33786e-05, 0, 0, 0.000480175
0, 6.4387, 0, 0.812094, 0, 3.05176e-05, 0, 0, 0.000432253
0, 6.01538, 0, 1.23535, 0, 4.24385e-05, 0, 0, 0.000424862
0, 6.43223, 0, 0.818662, 0, 2.74181e-05, 0, 0, 0.000386715
0, 6.4463, 0, 0.804336, 0, 4.55379e-05, 0, 0, 0.000534058
0, 6.44682, 0, 0.803844, 0, 4.52995e-05, 0, 0, 0.000433207
0, 6.03284, 0, 1.2177, 0, 4.98295e-05, 0, 0, 0.000611067
0, 6.45066, 0, 0.800002, 0, 4.33922e-05, 0, 0, 0.000469446
0, 6.40577, 0, 0.845097, 0, 3.76701e-05, 0, 0, 0.000346422
0, 6.45192, 0, 0.798908, 0, 5.4121e-05, 0, 0, 0.000452757
0, 6.47093, 0, 0.779838, 0, 4.05312e-05, 0, 0, 0.00044775
