connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 4.51563, 0, 3.35324, 0, 7.62939e-06, 0, 0, 0.000313759
0, 4.52277, 0, 3.34634, 0, 9.05991e-06, 0, 0, 0.000285864
0, 4.45533, 0, 3.41375, 0, 9.05991e-06, 0, 0, 0.000239134
0, 4.49924, 0, 3.36989, 0, 1.0252e-05, 0, 0, 0.000225544
0, 5.85804, 0, 2.00938, 0, 1.07288e-05, 0, 0, 0.000255346
0, 5.84708, 0, 2.01994, 0, 1.3113e-05, 0, 0, 0.000246048
0, 5.02132, 0, 2.84722, 0, 1.21593e-05, 0, 0, 0.000226021
0, 5.0289, 0, 2.83952, 0, 1.12057e-05, 0, 0, 0.000241518
