connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 4.15133, 0, 3.60329, 0, 1.7643e-05, 0, 0, 0.000621557
0, 7.15175, 0, 0.602072, 0, 1.71661e-05, 0, 0, 0.000603199
0, 6.47379, 0, 1.28089, 0, 1.7643e-05, 0, 0, 0.000427246
0, 6.13647, 0, 1.61839, 0, 1.97887e-05, 0, 0, 0.000463963
0, 6.09586, 0, 1.65903, 0, 2.83718e-05, 0, 0, 0.000460148
0, 6.07771, 0, 1.67722, 0, 2.57492e-05, 0, 0, 0.000397682
0, 6.07419, 0, 1.68063, 0, 3.38554e-05, 0, 0, 0.00051403
0, 6.13246, 0, 1.62231, 0, 3.02792e-05, 0, 0, 0.000442982
0, 6.09094, 0, 1.6638, 0, 3.83854e-05, 0, 0, 0.000494719
0, 6.13281, 0, 1.62194, 0, 3.69549e-05, 0, 0, 0.000495911
0, 6.14567, 0, 1.60903, 0, 4.17233e-05, 0, 0, 0.000546694
0, 6.13112, 0, 1.62371, 0, 4.00543e-05, 0, 0, 0.000391245
0, 6.10039, 0, 1.65434, 0, 4.8399e-05, 0, 0, 0.000497341
0, 6.08545, 0, 1.66935, 0, 4.76837e-05, 0, 0, 0.000469208
0, 6.14192, 0, 1.61302, 0, 4.50611e-05, 0, 0, 0.000355721
0, 6.13737, 0, 1.61744, 0, 4.98295e-05, 0, 0, 0.000465393
0, 6.0821, 0, 1.67271, 0, 5.48363e-05, 0, 0, 0.000506163
0, 6.13624, 0, 1.61863, 0, 5.26905e-05, 0, 0, 0.000379086
0, 6.13578, 0, 1.61903, 0, 5.72205e-05, 0, 0, 0.000398159
0, 6.13364, 0, 1.62124, 0, 5.26905e-05, 0, 0, 0.000379801
