connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 12.4078, 0, 0.605262, 0, 2.00272e-05, 0, 0, 0.000608683
0, 12.4467, 0, 0.566261, 0, 1.0252e-05, 0, 0, 0.000347853
0, 12.3753, 0, 0.637394, 0, 1.21593e-05, 0, 0, 0.000370264
0, 12.4575, 0, 0.556336, 0, 1.23978e-05, 0, 0, 0.000396013
0, 12.3974, 0, 0.615354, 0, 1.85966e-05, 0, 0, 0.000393867
0, 12.4136, 0, 0.59843, 0, 2.12193e-05, 0, 0, 0.000496149
0, 12.3704, 0, 0.641693, 0, 2.38419e-05, 0, 0, 0.000469208
0, 12.4196, 0, 0.59326, 0, 2.38419e-05, 0, 0, 0.000392437
0, 12.4094, 0, 0.603396, 0, 2.28882e-05, 0, 0, 0.000358582
0, 12.4177, 0, 0.5944, 0, 2.40803e-05, 0, 0, 0.000471115
0, 12.4635, 0, 0.548437, 0, 2.67029e-05, 0, 0, 0.000580549
0, 12.4268, 0, 0.585925, 0, 2.86102e-05, 0, 0, 0.000461578
0, 12.3998, 0, 0.612412, 0, 3.29018e-05, 0, 0, 0.000394821
0, 12.4048, 0, 0.607267, 0, 2.95639e-05, 0, 0, 0.00045085
0, 12.3705, 0, 0.641578, 0, 2.90871e-05, 0, 0, 0.000466347
0, 12.4395, 0, 0.573326, 0, 3.17097e-05, 0, 0, 0.000379324
0, 12.4081, 0, 0.604434, 0, 3.09944e-05, 0, 0, 0.000357866
0, 12.403, 0, 0.609104, 0, 4.29153e-05, 0, 0, 0.000509024
0, 12.3778, 0, 0.634344, 0, 4.72069e-05, 0, 0, 0.000413418
0, 12.436, 0, 0.576643, 0, 4.1008e-05, 0, 0, 0.000406027
0, 4.49025, 0, 8.52256, 0, 1.71661e-05, 0, 0, 0.000445127
0, 4.48188, 0, 8.53119, 0, 1.69277e-05, 0, 0, 0.000362635
0, 4.43482, 0, 8.57818, 0, 1.28746e-05, 0, 0, 0.000370026
0, 4.45008, 0, 8.56284, 0, 1.74046e-05, 0, 0, 0.000370741
