connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 2.34475, 0, 4.3823, 0, 7.62939e-06, 0, 0, 0.000332594
0, 2.03918, 0, 4.68751, 0, 8.58307e-06, 0, 0, 0.00026989
0, 2.31893, 0, 4.40816, 0, 8.82149e-06, 0, 0, 0.000285149
0, 2.02509, 0, 4.70179, 0, 1.23978e-05, 0, 0, 0.000259876
0, 5.76395, 0, 0.960243, 0, 1.35899e-05, 0, 0, 0.000285387
0, 4.50481, 0, 2.21916, 0, 1.52588e-05, 0, 0, 0.000333786
0, 5.71885, 0, 1.00552, 0, 1.43051e-05, 0, 0, 0.000271797
0, 4.49158, 0, 2.23258, 0, 1.52588e-05, 0, 0, 0.000269413
0, 4.49597, 0, 2.22823, 0, 1.7643e-05, 0, 0, 0.000299692
0, 3.57905, 0, 3.14651, 0, 2.09808e-05, 0, 0, 0.000268936
0, 4.5398, 0, 2.18415, 0, 2.02656e-05, 0, 0, 0.000322342
0, 3.56655, 0, 3.15892, 0, 2.02656e-05, 0, 0, 0.000257015
