connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 2.13794, 0, 1.75828, 0, 6.4373e-06, 0, 0, 0.000400543
0, 2.7482, 0, 1.14671, 0, 2.14577e-05, 0, 0, 0.000714302
0, 1.82157, 0, 2.07474, 0, 1.07288e-05, 0, 0, 0.000397444
0, 3.03731, 0, 0.857435, 0, 2.40803e-05, 0, 0, 0.00073719
0, 2.38099, 0, 1.51469, 0, 2.26498e-05, 0, 0, 0.000566721
0, 2.87, 0, 1.02365, 0, 3.91006e-05, 0, 0, 0.000706196
0, 2.75984, 0, 1.13544, 0, 4.07696e-05, 0, 0, 0.000687122
0, 2.7765, 0, 1.11853, 0, 4.12464e-05, 0, 0, 0.000573397
0, 2.87699, 0, 1.01804, 0, 4.79221e-05, 0, 0, 0.000640869
0, 2.88331, 0, 1.01162, 0, 4.8399e-05, 0, 0, 0.000685215
0, 3.25402, 0, 0.639137, 0, 4.86374e-05, 0, 0, 0.000854015
0, 3.14341, 0, 0.751026, 0, 5.14984e-05, 0, 0, 0.00067687
0, 2.75846, 0, 1.13673, 0, 4.98295e-05, 0, 0, 0.000632524
0, 2.75299, 0, 1.14183, 0, 5.65052e-05, 0, 0, 0.000656366
0, 2.95015, 0, 0.945831, 0, 4.8399e-05, 0, 0, 0.000552893
0, 3.03722, 0, 0.857645, 0, 6.62804e-05, 0, 0, 0.000702381
0, 2.42359, 0, 1.47233, 0, 4.76837e-05, 0, 0, 0.000504255
0, 2.44083, 0, 1.45514, 0, 5.53131e-05, 0, 0, 0.000569582
0, 2.84493, 0, 1.04926, 0, 6.46114e-05, 0, 0, 0.000723362
0, 3.07696, 0, 0.81721, 0, 7.53403e-05, 0, 0, 0.000676394
0, 2.51647, 0, 1.37908, 0, 6.48499e-05, 0, 0, 0.000569344
0, 2.30067, 0, 1.59417, 0, 5.91278e-05, 0, 0, 0.000679255
0, 2.53043, 0, 1.36497, 0, 6.93798e-05, 0, 0, 0.000633001
0, 2.55803, 0, 1.33734, 0, 6.1512e-05, 0, 0, 0.000572205
0, 1.70824, 0, 2.18787, 0, 4.79221e-05, 0, 0, 0.000437498
0, 2.44416, 0, 1.4502, 0, 8.32081e-05, 0, 0, 0.000603199
0, 2.09696, 0, 1.7982, 0, 8.72612e-05, 0, 0, 0.000500917
0, 2.12582, 0, 1.76997, 0, 6.8903e-05, 0, 0, 0.000524998
0, 2.42502, 0, 1.47081, 0, 5.76973e-05, 0, 0, 0.000509977
0, 2.7435, 0, 1.15084, 0, 7.31945e-05, 0, 0, 0.000601768
0, 2.579, 0, 1.31646, 0, 6.27041e-05, 0, 0, 0.00051403
0, 2.63419, 0, 1.26125, 0, 6.1512e-05, 0, 0, 0.000549078
0, 2.18645, 0, 1.7088, 0, 7.12872e-05, 0, 0, 0.000512123
0, 1.89739, 0, 1.99842, 0, 8.03471e-05, 0, 0, 0.000466585
0, 1.66722, 0, 2.22894, 0, 5.84126e-05, 0, 0, 0.000447512
0, 2.62905, 0, 1.26546, 0, 0.000114202, 0, 0, 0.000634432
