connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 3.44174, 0, 3.86241, 0, 6.19888e-06, 0, 0, 0.000356913
0, 3.51439, 0, 3.78961, 0, 1.04904e-05, 0, 0, 0.000380516
0, 4.48608, 0, 2.81755, 0, 1.28746e-05, 0, 0, 0.000387907
0, 6.3397, 0, 0.956913, 0, 2.36034e-05, 0, 0, 0.000680923
0, 4.80627, 0, 2.49579, 0, 2.81334e-05, 0, 0, 0.000564575
0, 4.87617, 0, 2.42603, 0, 2.47955e-05, 0, 0, 0.000521421
0, 3.0173, 0, 4.28645, 0, 1.83582e-05, 0, 0, 0.00047946
0, 5.47411, 0, 1.82694, 0, 3.71933e-05, 0, 0, 0.000602722
0, 4.79098, 0, 2.51189, 0, 3.86238e-05, 0, 0, 0.00055933
0, 4.86151, 0, 2.44216, 0, 2.98023e-05, 0, 0, 0.000408649
0, 4.87093, 0, 2.43254, 0, 3.33786e-05, 0, 0, 0.000553846
0, 4.84558, 0, 2.45794, 0, 3.60012e-05, 0, 0, 0.00042367
0, 4.79199, 0, 2.51152, 0, 4.43459e-05, 0, 0, 0.000460148
0, 4.86456, 0, 2.43896, 0, 3.71933e-05, 0, 0, 0.000462294
0, 4.85707, 0, 2.44657, 0, 3.79086e-05, 0, 0, 0.000384331
0, 4.89531, 0, 2.40819, 0, 4.79221e-05, 0, 0, 0.000515938
0, 4.84603, 0, 2.45764, 0, 4.33922e-05, 0, 0, 0.000394106
0, 4.8559, 0, 2.44775, 0, 4.52995e-05, 0, 0, 0.000402212
0, 4.85184, 0, 2.45164, 0, 4.8399e-05, 0, 0, 0.000403881
0, 4.85257, 0, 2.45089, 0, 5.50747e-05, 0, 0, 0.000401974
0, 1.84277, 0, 5.46098, 0, 1.50204e-05, 0, 0, 0.000264645
0, 1.82923, 0, 5.47449, 0, 1.21593e-05, 0, 0, 0.000267267
0, 1.82449, 0, 5.47917, 0, 1.21593e-05, 0, 0, 0.00035882
0, 1.81761, 0, 5.4861, 0, 1.66893e-05, 0, 0, 0.000457525
