connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 4.13018, 0, 0.358255, 0, 7.15256e-06, 0, 0, 0.000304461
0, 3.3929, 0, 1.09536, 0, 9.05991e-06, 0, 0, 0.000258923
0, 3.38221, 0, 1.10624, 0, 9.29832e-06, 0, 0, 0.000239611
0, 3.39123, 0, 1.09706, 0, 1.09673e-05, 0, 0, 0.000236988
0, 3.38512, 0, 1.10327, 0, 1.50204e-05, 0, 0, 0.000272274
0, 3.39885, 0, 1.08954, 0, 1.35899e-05, 0, 0, 0.000261784
0, 3.37459, 0, 1.11395, 0, 1.12057e-05, 0, 0, 0.000236034
0, 3.38751, 0, 1.10114, 0, 1.43051e-05, 0, 0, 0.000256538
