connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 1.00289, 0, 0.493573, 0, 1.40667e-05, 0, 0, 0.000589132
0, 0.96952, 0, 0.527377, 0, 1.7643e-05, 0, 0, 0.000509501
0, 0.942029, 0, 0.554786, 0, 1.71661e-05, 0, 0, 0.000571728
0, 0.912008, 0, 0.584892, 0, 2.00272e-05, 0, 0, 0.00053525
0, 1.13254, 0, 0.363525, 0, 3.3617e-05, 0, 0, 0.000605106
0, 1.19319, 0, 0.302756, 0, 3.31402e-05, 0, 0, 0.00063014
0, 0.870985, 0, 0.625893, 0, 3.24249e-05, 0, 0, 0.000604391
0, 0.848929, 0, 0.647829, 0, 3.69549e-05, 0, 0, 0.000573874
0, 1.11451, 0, 0.381357, 0, 3.95775e-05, 0, 0, 0.000693083
0, 1.20492, 0, 0.291272, 0, 4.43459e-05, 0, 0, 0.000698328
0, 1.12351, 0, 0.372669, 0, 3.91006e-05, 0, 0, 0.000553846
0, 1.20662, 0, 0.289751, 0, 4.8399e-05, 0, 0, 0.000580072
0, 0.951571, 0, 0.545817, 0, 4.31538e-05, 0, 0, 0.000527382
0, 0.917913, 0, 0.579321, 0, 5.26905e-05, 0, 0, 0.000518799
0, 0.955179, 0, 0.542266, 0, 5.05447e-05, 0, 0, 0.000557661
0, 0.913886, 0, 0.58352, 0, 4.33922e-05, 0, 0, 0.000506878
0, 1.17777, 0, 0.317656, 0, 6.00815e-05, 0, 0, 0.000717402
0, 1.18001, 0, 0.315298, 0, 7.4625e-05, 0, 0, 0.000677586
0, 1.18445, 0, 0.311797, 0, 8.15392e-05, 0, 0, 0.000672817
0, 1.19292, 0, 0.303039, 0, 7.1764e-05, 0, 0, 0.00068593
0, 1.00666, 0, 0.489069, 0, 6.62804e-05, 0, 0, 0.000747681
0, 1.00705, 0, 0.488948, 0, 6.41346e-05, 0, 0, 0.000560284
0, 1.0056, 0, 0.490769, 0, 7.89165e-05, 0, 0, 0.000554323
0, 1.01669, 0, 0.480062, 0, 5.88894e-05, 0, 0, 0.000506163
0, 0.818225, 0, 0.678628, 0, 6.07967e-05, 0, 0, 0.000476599
0, 0.821424, 0, 0.675159, 0, 5.72205e-05, 0, 0, 0.000535011
0, 0.87172, 0, 0.625299, 0, 7.24792e-05, 0, 0, 0.000569582
0, 0.825479, 0, 0.671279, 0, 6.81877e-05, 0, 0, 0.000571012
0, 1.01334, 0, 0.483068, 0, 7.03335e-05, 0, 0, 0.000586987
0, 1.01907, 0, 0.477304, 0, 8.72612e-05, 0, 0, 0.000526428
0, 0.80512, 0, 0.692157, 0, 6.79493e-05, 0, 0, 0.00054121
0, 0.7333, 0, 0.763769, 0, 9.39369e-05, 0, 0, 0.000421047
0, 1.01274, 0, 0.483783, 0, 7.62939e-05, 0, 0, 0.000478029
0, 1.01577, 0, 0.480795, 0, 7.05719e-05, 0, 0, 0.000469923
0, 0.797775, 0, 0.698932, 0, 8.13007e-05, 0, 0, 0.000758171
0, 0.745887, 0, 0.751297, 0, 7.41482e-05, 0, 0, 0.000474215
