connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 7.30986, 0, 0.383524, 0, 5.48363e-06, 0, 0, 0.000216007
0, 7.29035, 0, 0.403084, 0, 6.19888e-06, 0, 0, 0.00024271
0, 7.23726, 0, 0.455731, 0, 6.19888e-06, 0, 0, 0.0002141
0, 7.26984, 0, 0.422941, 0, 8.34465e-06, 0, 0, 0.000237942
0, 7.27787, 0, 0.415597, 0, 9.77516e-06, 0, 0, 0.000246048
0, 7.32189, 0, 0.372395, 0, 1.28746e-05, 0, 0, 0.000289679
0, 7.22553, 0, 0.467965, 0, 9.53674e-06, 0, 0, 0.000211954
0, 7.25996, 0, 0.434716, 0, 1.33514e-05, 0, 0, 0.000236273
