connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 6.32925, 0, 0.367451, 0, 9.53674e-06, 0, 0, 0.000384569
0, 6.29308, 0, 0.403659, 0, 1.52588e-05, 0, 0, 0.000307083
0, 6.29562, 0, 0.400624, 0, 1.64509e-05, 0, 0, 0.000512362
0, 6.28889, 0, 0.407412, 0, 1.52588e-05, 0, 0, 0.000379324
0, 6.30012, 0, 0.395956, 0, 1.97887e-05, 0, 0, 0.000404358
0, 6.29268, 0, 0.403451, 0, 1.93119e-05, 0, 0, 0.00039053
0, 6.28313, 0, 0.412802, 0, 2.45571e-05, 0, 0, 0.000484228
0, 6.28015, 0, 0.415999, 0, 2.28882e-05, 0, 0, 0.000391006
0, 6.29638, 0, 0.399363, 0, 2.93255e-05, 0, 0, 0.000572681
0, 6.28887, 0, 0.40713, 0, 2.64645e-05, 0, 0, 0.000495672
0, 6.29035, 0, 0.405524, 0, 3.52859e-05, 0, 0, 0.00052166
0, 6.28625, 0, 0.409888, 0, 2.81334e-05, 0, 0, 0.000367403
0, 6.29388, 0, 0.402365, 0, 2.52724e-05, 0, 0, 0.000380993
0, 6.29258, 0, 0.403597, 0, 2.95639e-05, 0, 0, 0.000449896
0, 6.29129, 0, 0.40464, 0, 3.55244e-05, 0, 0, 0.000509501
0, 6.28594, 0, 0.410327, 0, 2.57492e-05, 0, 0, 0.000353098
0, 6.30686, 0, 0.388887, 0, 3.93391e-05, 0, 0, 0.000496864
0, 6.27957, 0, 0.41643, 0, 3.6478e-05, 0, 0, 0.000481367
0, 6.30462, 0, 0.393044, 0, 4.1008e-05, 0, 0, 0.000427008
0, 6.29253, 0, 0.403662, 0, 3.52859e-05, 0, 0, 0.000311375
