connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 1.39534, 0, 0.61434, 0, 1.14441e-05, 0, 0, 0.000488997
0, 1.23695, 0, 0.773416, 0, 1.43051e-05, 0, 0, 0.000444889
0, 1.24578, 0, 0.764023, 0, 1.83582e-05, 0, 0, 0.000573158
0, 1.44188, 0, 0.568439, 0, 2.64645e-05, 0, 0, 0.000437975
0, 1.38827, 0, 0.619715, 0, 4.22001e-05, 0, 0, 0.000578165
0, 1.40642, 0, 0.601333, 0, 3.52859e-05, 0, 0, 0.000573397
0, 1.57545, 0, 0.433152, 0, 3.74317e-05, 0, 0, 0.00053215
0, 1.52461, 0, 0.484315, 0, 3.67165e-05, 0, 0, 0.000520706
0, 1.65644, 0, 0.353035, 0, 4.50611e-05, 0, 0, 0.0004704
0, 1.24557, 0, 0.764258, 0, 3.88622e-05, 0, 0, 0.000468016
0, 1.28682, 0, 0.723272, 0, 4.48227e-05, 0, 0, 0.000453234
0, 1.23124, 0, 0.778728, 0, 3.93391e-05, 0, 0, 0.000452757
0, 1.61935, 0, 0.388541, 0, 6.12736e-05, 0, 0, 0.000553846
0, 1.62602, 0, 0.382988, 0, 5.60284e-05, 0, 0, 0.000558853
0, 1.6368, 0, 0.372106, 0, 7.15256e-05, 0, 0, 0.000523567
0, 1.62133, 0, 0.386539, 0, 6.05583e-05, 0, 0, 0.000661612
0, 1.62935, 0, 0.377729, 0, 0.000926733, 0, 0, 0.000689268
0, 1.62198, 0, 0.386016, 0, 7.22408e-05, 0, 0, 0.000587702
0, 1.35365, 0, 0.656653, 0, 5.24521e-05, 0, 0, 0.000495195
0, 1.44931, 0, 0.56099, 0, 7.53403e-05, 0, 0, 0.000474215
0, 0.63006, 0, 1.37993, 0, 2.55108e-05, 0, 0, 0.000525475
0, 0.757042, 0, 1.25291, 0, 3.0756e-05, 0, 0, 0.000476837
0, 0.74625, 0, 1.26376, 0, 3.17097e-05, 0, 0, 0.000440359
0, 0.471169, 0, 1.53918, 0, 3.02792e-05, 0, 0, 0.000283718
0, 0.76275, 0, 1.24687, 0, 4.81606e-05, 0, 0, 0.000460625
0, 0.76115, 0, 1.24865, 0, 2.64645e-05, 0, 0, 0.000370502
0, 0.466235, 0, 1.54403, 0, 2.71797e-05, 0, 0, 0.000299931
0, 0.000198126, 0, 2.01011, 0, 2.6226e-06, 0, 0, 0.000431299
